"word","count"
"sound",232
"shakes",232
"don’t",232
"imli",231
"named",231
"upper",231
"walking",231
"creative",231
"sufficient",231
"notch",230
"waffle",230
"present",230
"strongly",230
"honest",229
"justice",229
"breweries",229
"picked",228
"koshy's",228
"martini",228
"margarita",228
"deep",227
"liquor",227
"fingers",227
"spectacular",227
"kababs",226
"system",226
"suggestions",226
"chai",225
"rasta",225
"bhavan",225
"balance",225
"amazing!",225
"pleasantly",225
"sticky",224
"ice-cream",224
"bitter",223
"imagine",223
"beat",222
"tofu",222
"books",222
"subtle",222
"greeted",222
"leaving",222
"4th",221
"pho",221
"curd",221
"try!",221
"stuck",221
"almond",221
"longer",221
"nights",221
"elegant",221
"delectable",221
"ac",220
"mediterranean",220
"max",219
"amazed",219
"upstairs",219
"appetizer",219
"3rd",218
"park",218
"idlis",218
"empire",218
"kesari",218
"addition",218
"belly",217
"works",217
"recent",217
"momos",216
"palate",216
"sports",216
"sundae",215
"desi",214
"keeping",214
"de",213
"mr",213
"sum",213
"yellow",213
"hoping",212
"starts",212
"cutlery",212
"trained",212
"pool",211
"chili",211
"melts",211
"seekh",211
"gramin",211
"quaint",211
"""the",210
"duck",210
"hint",210
"actual",210
"glen's",210
"comfort",210
"biryanis",210
"enjoyable",210
"ages",209
"band",209
"stone",209
"berry'd",209
"buffets",209
"balanced",209
"smoothie",209
"local",208
"everytime",208
"consistency",208
"ship",207
"berry",207
"sized",207
"entering",207
"lives",206
"monday",206
"premium",206
"arranged",206
"non-vegetarian",206
"heat",205
"puri",205
"tend",205
"begin",205
"hurry",205
"adding",205
"created",205
"ravioli",205
"satisfy",205
"verdict",205
"delicious!",205
"fudge",204
"firstly",204
"families",204
"memories",204
"services",204
"cafes",203
"custard",203
"pleasing",203
"bet",202
"phone",202
"sambar",202
"compare",202
"stopped",202
"positive",202
"christmas",202
"fr",201
"aam",201
"par",201
"yumm",201
"italy",201
"sight",201
"explore",201
"decently",200
"pockets",199
"posters",199
"realized",199
"conversations",199
"ll",198
"jam",198
"crave",198
"lychee",198
"repeat",198
"ceiling",198
"reasons",198
"delivered",198
"anniversary",198
"sun",197
"pass",197
"awesome!",197
"tomato's",197
"hv",196
"center",196
"headed",196
"courses",196
"dimsums",196
"apparently",196
"ub",195
"abt",195
"apt",195
"booze",195
"snack",195
"saving",195
"sticks",195
"calamari",195
"2)",194
"500",194
"ham",194
"costs",194
"soggy",194
"tucked",194
"outlets",194
"service-",194
"scrumptious",194
"hold",193
"luck",193
"choco",193
"cons:",193
"period",193
"relish",193
"general",193
"watching",193
"sip",192
"funny",192
"icing",192
"worse",192
"advice",192
"thrice",192
"gravies",192
"luckily",192
"teas",191
"irish",191
"kofta",191
"loves",191
"divine",191
"cooking",191
"thursday",191
"jp",190
"st",190
"murg",190
"bombay",190
"hunger",190
"assorted",190
"congested",190
"girl",189
"photos",189
"visit!",189
"anytime",189
"deliver",189
"picture",189
"topping",189
"thankfully",189
"basa",188
"kiwi",188
"fully",188
"golden",188
"slices",188
"counters",188
"promptly",188
"wondering",188
"it)",187
"ps:",187
"wit",187
"gobi",187
"leaf",187
"barely",187
"search",187
"slight",187
"bell",186
"rave",186
"kulfi",186
"overrated",186
"age",185
"odd",185
"bday",185
"chewy",185
"dressing",185
"recommendations",185
"50",184
"common",184
"servings",184
"undoubtedly",184
"bt",183
"ctr",183
"esp",183
"gang",183
"peak",183
"moist",183
"raspberry",183
"bangalore!",183
"admit",182
"areas",182
"grand",182
"papad",182
"boring",182
"burrito",182
"lettuce",182
"inviting",182
"destination",182
"experiences",182
"met",181
"flat",181
"likes",181
